Ind,Treatment,Trial,Date,Time,Tank,Weight,Tubefeet,Spines,LossofAdhesion,TubeProb,SpineProb,Cage Rotations,TagColour,Spine,Test,Notes
5,21,2,11/06/2026,Morning,8,54.74,27.7,,33.2,1,0,4,Gold,,,
6,21,2,11/06/2026,Morning,8,37.8,31.2,,31.8,1,0,1,Purple,,,
7,21,2,11/06/2026,Morning,8,57.67,25.6,,32.5,1,0,1,Orange,,,
8,21,2,11/06/2026,Morning,8,62.59,,,31.2,1,0,1,Brown,,,
9,21,2,11/06/2026,Morning,8,55.8,,,31.4,1,0,4,Red,,,
10,21,2,11/06/2026,Morning,8,52.91,,,33,1,0,1,Yellow,,,
1,27,2,12/06/2026,Afternoon,9,27.8,28.9,29.3,35.1,1,1,0,Brown,,,
2,27,2,12/06/2026,Afternoon,9,44.03,31.1,,36.8,1,0,1,Purple,,,
3,27,2,12/06/2026,Afternoon,9,53.53,31.2,,34.7,1,0,2,Pink,,,
4,27,2,12/06/2026,Afternoon,9,47.33,31.2,,35.1,1,0,4,Red,,,
5,27,2,12/06/2026,Afternoon,9,36.55,29.8,,34.3,1,0,2,Blue,,,
6,27,2,12/06/2026,Afternoon,9,45.89,31.4,31.7,36.5,1,1,3,Black,,,
7,27,2,12/06/2026,Afternoon,9,47.77,,,32.7,1,0,1,Gold,,,
8,27,2,12/06/2026,Afternoon,9,35.47,29.7,35.3,36.1,1,1,2,Green,,,
9,27,2,12/06/2026,Afternoon,9,58.3,34.9,36.9,37,1,1,0,Orange,,,
10,27,2,12/06/2026,Afternoon,9,NA,,,,0,0,,,,,
1,21,2,12/06/2026,Morning,10,53.26,22.5,,31.7,1,0,2,Orange,,,
2,21,2,12/06/2026,Morning,10,42.71,27.7,,34.7,1,0,2,Green,,,
3,21,2,12/06/2026,Morning,10,41.27,31.2,,33.6,1,0,1,Purple,,,
4,21,2,12/06/2026,Morning,10,42.94,26.6,,34.2,1,0,1,Gold,,,
5,21,2,12/06/2026,Morning,10,59.66,28.3,,35.7,1,0,1,Blue,,,
6,21,2,12/06/2026,Morning,10,43.24,26.8,,34.1,1,0,2,Black,,,
7,21,2,12/06/2026,Morning,10,41.37,26,23.9,33,1,1,0,Brown,,,
8,21,2,12/06/2026,Morning,10,41.28,26.1,,31.5,1,0,2,Pink,,,
9,21,2,12/06/2026,Morning,10,66.57,23.7,23.7,33.4,1,1,6,Red,,,
10,21,2,12/06/2026,Morning,10,37.2,,24.3,31.7,1,1,1,Yellow,,,
