UrchinID,Tank,Treatment,Date,Week,Weight_g,min,sec,Righting_time,Colour,ExpPhase,Tag,Notes
10,9,27,12/05/2026,2,,2,54,174,Light,Exp,,
11,9,27,12/05/2026,2,,2,52,172,Dark,Exp,,
12,9,27,12/05/2026,2,,2,58,178,Dark,Exp,,
1,10,21,12/05/2026,2,,2,5,125,Light,Exp,,
2,10,21,12/05/2026,2,,2,8,128,Dark,Exp,,
3,10,21,12/05/2026,2,,2,21,141,Light,Exp,,
4,10,21,12/05/2026,2,,4,21,261,Light,Exp,,
5,10,21,12/05/2026,2,,1,55,115,Light,Exp,,
6,10,21,12/05/2026,2,,5,19,319,Light,Exp,,
7,10,21,12/05/2026,2,,1,34,94,Dark,Exp,,
8,10,21,12/05/2026,2,,3,12,192,Dark,Exp,,
9,10,21,12/05/2026,2,,1,49,109,Light,Exp,,
10,10,21,12/05/2026,2,,1,33,93,Dark,Exp,,
11,10,21,12/05/2026,2,,5,11,311,Dark,Exp,,
12,10,21,12/05/2026,2,,1,40,100,Dark,Exp,,
13,10,21,12/05/2026,2,,2,25,145,Light,Exp,,
1,3,27,18/05/2026,3,,1,53,113,Dark,Exp,,
2,3,27,18/05/2026,3,,2,41,161,Light,Exp,,
3,3,27,18/05/2026,3,,3,56,236,Dark,Exp,,
4,3,27,18/05/2026,3,,2,16,136,Dark,Exp,,
5,3,27,18/05/2026,3,,3,57,237,Dark,Exp,,
6,3,27,18/05/2026,3,,1,41,101,Light,Exp,,
7,3,27,18/05/2026,3,,1,55,115,Light,Exp,,
8,3,27,18/05/2026,3,,1,40,100,Light,Exp,,
9,3,27,18/05/2026,3,,1,25,85,Dark,Exp,,
10,3,27,18/05/2026,3,,2,8,128,Light,Exp,,
11,3,27,18/05/2026,3,,1,32,92,Dark,Exp,,
12,3,27,18/05/2026,3,,1,27,87,Dark,Exp,,
1,8,21,18/05/2026,3,,1,48,108,Light,Exp,,
2,8,21,18/05/2026,3,,2,21,141,Dark,Exp,,
3,8,21,18/05/2026,3,,2,4,124,Dark,Exp,,
4,8,21,18/05/2026,3,,2,32,152,Light,Exp,,
5,8,21,18/05/2026,3,,1,41,101,Light,Exp,,
6,8,21,18/05/2026,3,,3,31,211,Light,Exp,,
7,8,21,18/05/2026,3,,3,2,182,Dark,Exp,,
8,8,21,18/05/2026,3,,2,5,125,Dark,Exp,,
9,8,21,18/05/2026,3,,2,28,148,Light,Exp,,
10,8,21,18/05/2026,3,,2,1,121,Light,Exp,,
11,8,21,18/05/2026,3,,3,5,185,Light,Exp,,
12,8,21,18/05/2026,3,,3,26,206,Light,Exp,,
1,9,27,19/05/2026,3,,2,34,154,Dark,Exp,,
2,9,27,19/05/2026,3,,2,16,136,Light,Exp,,
3,9,27,19/05/2026,3,,1,20,80,Dark,Exp,,
4,9,27,19/05/2026,3,,1,50,110,Dark,Exp,,
5,9,27,19/05/2026,3,,4,57,297,Dark,Exp,,
6,9,27,19/05/2026,3,,4,49,289,Light,Exp,,
7,9,27,19/05/2026,3,,1,41,101,Dark,Exp,,
8,9,27,19/05/2026,3,,2,29,149,Light,Exp,,
9,9,27,19/05/2026,3,,10,0,600,Light,Exp,,Max
10,9,27,19/05/2026,3,,2,1,121,Dark,Exp,,
11,9,27,19/05/2026,3,,1,13,73,Light,Exp,,
12,9,27,19/05/2026,3,,NA,NA,NA,NA,Exp,,Died
1,10,21,19/05/2026,3,,2,5,125,Dark,Exp,,
2,10,21,19/05/2026,3,,3,48,228,Dark,Exp,,
3,10,21,19/05/2026,3,,3,36,216,Dark,Exp,,
4,10,21,19/05/2026,3,,2,59,179,Dark,Exp,,
5,10,21,19/05/2026,3,,1,23,83,Light,Exp,,
6,10,21,19/05/2026,3,,2,52,172,Light,Exp,,
7,10,21,19/05/2026,3,,8,55,535,Dark,Exp,,
8,10,21,19/05/2026,3,,2,22,142,Dark,Exp,,
9,10,21,19/05/2026,3,,0,46,46,Dark,Exp,,
10,10,21,19/05/2026,3,,1,59,119,Dark,Exp,,
11,10,21,19/05/2026,3,,2,43,163,Dark,Exp,,
12,10,21,19/05/2026,3,,1,47,107,Light,Exp,,
13,10,21,19/05/2026,3,,2,30,150,Light,Exp,,
1,3,27,25/05/2026,4,,2,25,145,Light,Exp,,
2,3,27,25/05/2026,4,,2,20,140,Dark,Exp,,
3,3,27,25/05/2026,4,,2,20,140,Dark,Exp,,
4,3,27,25/05/2026,4,,1,32,92,Light,Exp,,
5,3,27,25/05/2026,4,,2,13,133,Light,Exp,,
6,3,27,25/05/2026,4,,2,46,166,Light,Exp,,
7,3,27,25/05/2026,4,,1,11,71,Dark,Exp,,
8,3,27,25/05/2026,4,,5,47,347,Light,Exp,,
9,3,27,25/05/2026,4,,2,18,138,Dark,Exp,,
10,3,27,25/05/2026,4,,1,26,86,Dark,Exp,,
